Full_Name,Annual_Income,Loan_Amount,Credit_Score,Employment_Type,Loan_Term,Existing_Loans,Approval_Status
User_83,130510,42945,528,Self-Employed,29,Yes,Approved
User_84,126530,30945,847,Salaried,12,Yes,Approved
User_85,100077,30316,522,Self-Employed,3,Yes,Approved
User_86,55920,37217,305,Self-Employed,13,Yes,Rejected
User_87,112067,13308,621,Self-Employed,18,Yes,Approved
User_88,87121,10949,767,Salaried,8,Yes,Approved
User_89,89479,6150,374,Self-Employed,21,Yes,Rejected
User_90,109475,28944,303,Salaried,15,No,Rejected
User_91,39457,39699,417,Self-Employed,1,No,Rejected
User_92,86557,14204,803,Salaried,3,No,Approved
User_93,97189,6081,740,Self-Employed,26,No,Approved
User_94,129109,34305,493,Salaried,8,Yes,Rejected
User_95,98953,21896,691,Self-Employed,4,Yes,Approved
User_96,72995,12805,325,Salaried,16,No,Rejected
User_97,60757,10237,734,Salaried,23,No,Approved
User_98,29692,25056,472,Salaried,10,Yes,Rejected
User_99,65758,8343,599,Salaried,12,No,Approved
User_100,149425,18500,625,Self-Employed,14,No,Approved
User_101,92409,34375,709,Self-Employed,14,No,Approved
User_102,91211,14662,417,Salaried,2,No,Rejected
User_103,85697,21964,524,Self-Employed,23,Yes,Approved
User_104,57065,13130,831,Salaried,5,No,Approved
User_105,112093,24531,412,Salaried,5,No,Rejected
User_106,119299,6679,439,Self-Employed,6,Yes,Rejected
User_107,149293,8506,300,Salaried,13,Yes,Rejected
User_108,52606,18284,389,Salaried,9,No,Rejected
User_109,147791,12253,619,Self-Employed,22,Yes,Approved
User_110,31534,24128,849,Salaried,28,No,Approved
User_111,114663,32932,438,Salaried,29,No,Rejected
User_112,60397,14435,810,Salaried,15,Yes,Approved
User_113,146678,49078,558,Salaried,14,No,Approved
User_114,111387,18296,309,Self-Employed,24,No,Rejected
User_115,21016,35445,560,Self-Employed,7,No,Approved
User_116,109789,18245,471,Self-Employed,25,No,Rejected
User_117,75591,34124,312,Salaried,20,Yes,Rejected
User_118,109812,34899,467,Salaried,2,Yes,Rejected
User_119,43247,48919,620,Self-Employed,7,No,Approved
User_120,44300,48225,618,Salaried,6,Yes,Approved
User_121,94065,40247,628,Salaried,17,No,Approved
User_122,102798,34222,849,Salaried,27,No,Approved
User_123,29268,31211,718,Salaried,25,No,Approved
User_124,106807,42220,394,Self-Employed,25,No,Rejected
User_125,32185,31646,617,Self-Employed,28,No,Approved
User_126,83704,43649,535,Self-Employed,2,Yes,Approved
User_127,106779,28049,633,Salaried,3,No,Approved
User_128,59099,19069,675,Self-Employed,5,Yes,Approved
User_129,28571,37580,758,Self-Employed,5,Yes,Approved
User_130,143372,36843,436,Salaried,1,No,Rejected
User_131,125512,7849,846,Salaried,8,No,Approved
User_132,58044,45158,812,Self-Employed,12,No,Approved
User_133,71214,28289,595,Self-Employed,24,No,Approved
User_134,81228,49690,619,Self-Employed,4,No,Approved
User_135,134752,40257,648,Self-Employed,13,Yes,Approved
User_136,68984,14823,528,Salaried,23,No,Approved
User_137,60774,46975,569,Self-Employed,15,No,Approved
User_138,22568,14540,590,Self-Employed,11,Yes,Approved
User_139,140151,21364,464,Salaried,10,Yes,Rejected
User_140,82592,9611,304,Self-Employed,3,No,Rejected
User_141,87563,32663,678,Salaried,22,Yes,Approved
User_142,22695,43646,377,Salaried,14,No,Rejected
User_143,144375,35977,709,Salaried,16,Yes,Approved
User_144,68190,34168,431,Self-Employed,10,Yes,Rejected
User_145,25258,30471,341,Self-Employed,29,No,Rejected
User_146,107538,27687,388,Salaried,10,Yes,Rejected
User_147,59504,5851,701,Self-Employed,12,Yes,Approved
User_148,53159,23071,595,Self-Employed,9,Yes,Approved
User_149,33986,11833,594,Salaried,1,Yes,Approved
User_150,81858,16938,825,Salaried,5,Yes,Approved
User_151,149312,40195,721,Self-Employed,20,Yes,Approved
User_152,32666,31144,322,Salaried,8,No,Rejected
User_153,58660,9000,442,Self-Employed,11,No,Rejected
User_154,23561,10052,444,Self-Employed,12,Yes,Rejected
User_155,46854,40506,524,Self-Employed,1,No,Approved
User_156,84505,33074,802,Self-Employed,25,No,Approved
User_157,124488,43155,403,Salaried,22,No,Rejected
User_158,72251,45770,338,Salaried,20,Yes,Rejected
User_159,42662,37320,497,Salaried,28,No,Rejected
User_160,28392,43304,690,Salaried,25,Yes,Approved
User_161,50535,8913,478,Self-Employed,11,No,Rejected
User_162,98603,22450,747,Self-Employed,5,Yes,Approved
User_163,133569,29107,799,Salaried,15,Yes,Approved
User_164,72256,25764,314,Self-Employed,5,No,Rejected
User_165,109135,48404,588,Self-Employed,12,No,Approved
User_166,147478,25491,777,Self-Employed,5,Yes,Approved
User_167,55222,43494,530,Salaried,17,No,Approved
User_168,97373,8373,719,Salaried,17,No,Approved
User_169,99575,17161,456,Salaried,24,No,Rejected
User_170,143684,36996,849,Self-Employed,12,Yes,Approved
User_171,116354,32122,740,Salaried,24,Yes,Approved
User_172,104651,39850,396,Salaried,28,No,Rejected
User_173,83335,32350,710,Salaried,15,No,Approved
User_174,30965,32472,588,Salaried,15,No,Approved
User_175,44538,33761,553,Salaried,6,Yes,Approved
User_176,128066,30351,495,Salaried,12,Yes,Rejected
User_177,90592,28132,821,Self-Employed,27,No,Approved
User_178,118018,20305,816,Self-Employed,29,No,Approved
User_179,133252,14817,417,Salaried,20,No,Rejected
User_180,28110,16261,458,Salaried,18,No,Rejected
User_181,99309,5417,527,Self-Employed,14,No,Approved
User_182,47266,46576,515,Self-Employed,2,No,Approved
User_183,72992,25358,314,Salaried,9,Yes,Rejected
User_184,102948,8267,456,Salaried,5,No,Rejected
User_185,142073,22209,560,Salaried,20,Yes,Approved
User_186,118806,29052,456,Salaried,26,No,Rejected
User_187,26910,43513,346,Self-Employed,29,No,Rejected
User_188,130989,31092,623,Salaried,1,Yes,Approved
User_189,110982,16338,429,Salaried,23,Yes,Rejected
User_190,141626,5412,710,Salaried,3,Yes,Approved
User_191,139176,12543,394,Salaried,6,Yes,Rejected
User_192,20206,45355,591,Self-Employed,5,No,Rejected
User_193,107054,38496,582,Self-Employed,21,Yes,Approved
User_194,107897,28548,368,Self-Employed,27,No,Rejected
User_195,142409,32384,310,Salaried,5,Yes,Rejected
User_196,43419,49425,553,Salaried,1,No,Approved
User_197,70636,43756,849,Self-Employed,17,No,Approved
User_198,142546,23888,433,Salaried,19,No,Rejected
User_199,134238,40735,322,Salaried,14,No,Rejected
User_200,70015,22506,645,Self-Employed,12,No,Approved
User_201,137478,25463,601,Self-Employed,10,No,Approved
User_202,142096,22955,662,Self-Employed,20,Yes,Approved
User_203,127059,42841,695,Self-Employed,21,No,Approved
User_204,74268,10104,517,Salaried,18,Yes,Approved
User_205,130687,39911,440,Salaried,24,Yes,Rejected
User_206,107939,28190,509,Self-Employed,27,No,Approved
User_207,38141,12357,759,Salaried,11,Yes,Approved
User_208,100356,37479,655,Self-Employed,2,No,Approved
User_209,125878,49811,623,Self-Employed,25,Yes,Approved
User_210,91910,41208,432,Salaried,18,No,Rejected
User_211,76044,25150,426,Self-Employed,29,Yes,Rejected
User_212,87214,10644,405,Salaried,25,No,Rejected
User_213,137930,48286,677,Salaried,7,No,Approved
User_214,139324,7914,350,Salaried,24,No,Rejected
User_215,53827,26352,328,Salaried,15,No,Rejected
User_216,75820,49912,761,Self-Employed,11,Yes,Approved
User_217,82623,19397,595,Salaried,18,No,Approved
User_218,101734,46555,596,Self-Employed,23,Yes,Approved
User_219,95450,5728,706,Self-Employed,12,Yes,Approved
User_220,113426,5698,704,Self-Employed,6,Yes,Approved
User_221,137845,44954,645,Self-Employed,20,No,Approved
User_222,42299,18923,719,Salaried,23,Yes,Approved
User_223,63585,21779,481,Salaried,13,Yes,Rejected
User_224,129225,12400,300,Self-Employed,20,Yes,Rejected
User_225,84044,29466,670,Self-Employed,16,No,Approved
User_226,62557,41939,730,Salaried,18,No,Approved
User_227,69080,9360,608,Self-Employed,10,Yes,Approved
User_228,129556,40270,436,Salaried,28,No,Rejected
User_229,22693,22101,501,Self-Employed,23,No,Approved
User_230,115003,37307,735,Salaried,8,Yes,Approved
User_231,115259,10486,612,Self-Employed,18,Yes,Approved
User_232,132235,13335,416,Self-Employed,21,No,Rejected
User_233,89163,26364,543,Salaried,1,Yes,Approved
User_234,45939,42259,836,Self-Employed,23,No,Approved
User_235,68925,28576,374,Self-Employed,8,No,Rejected
User_236,62941,36667,685,Salaried,29,No,Approved
User_237,41834,16130,509,Self-Employed,6,No,Approved
User_238,38047,26972,774,Salaried,5,No,Approved
User_239,46105,45419,717,Salaried,15,No,Approved
User_240,95766,6167,646,Self-Employed,22,Yes,Approved
User_241,35707,32192,828,Self-Employed,15,Yes,Approved
User_242,41976,6062,478,Self-Employed,2,No,Rejected
User_243,64262,23540,481,Self-Employed,1,No,Rejected
User_244,145117,29244,324,Self-Employed,23,No,Rejected
User_245,43776,26545,479,Self-Employed,23,Yes,Rejected
User_246,50080,26689,800,Self-Employed,26,No,Approved
User_247,148376,16174,460,Salaried,11,Yes,Rejected
User_248,86842,27925,476,Self-Employed,10,No,Rejected
User_249,81373,42497,584,Salaried,18,No,Approved
User_250,26776,14348,362,Self-Employed,18,Yes,Rejected
User_251,112787,28714,455,Self-Employed,17,Yes,Rejected
User_252,147948,43102,768,Salaried,26,No,Approved
User_253,75016,13924,348,Self-Employed,8,No,Rejected
User_254,29474,42098,383,Self-Employed,15,No,Rejected
User_255,125830,29394,660,Salaried,8,Yes,Approved
User_256,78053,11801,447,Self-Employed,17,Yes,Rejected
User_257,41959,42614,641,Self-Employed,12,Yes,Approved
User_258,25530,11731,775,Self-Employed,27,Yes,Approved
User_259,114856,28625,362,Salaried,8,Yes,Rejected
User_260,139101,22337,659,Self-Employed,25,Yes,Approved
User_261,23748,40307,626,Self-Employed,14,No,Approved
User_262,117504,12056,440,Self-Employed,4,No,Rejected
User_263,118098,16516,514,Self-Employed,1,Yes,Approved
User_264,33545,49261,734,Salaried,1,No,Approved
User_265,147659,6542,617,Salaried,19,No,Approved
User_266,86199,26677,331,Self-Employed,16,Yes,Rejected
User_267,54766,44081,584,Self-Employed,14,No,Approved
User_268,93530,32569,604,Salaried,21,Yes,Approved
User_269,113557,28322,728,Salaried,16,Yes,Approved
User_270,81087,24065,776,Self-Employed,5,No,Approved
User_271,115839,22924,585,Salaried,9,Yes,Approved
User_272,136183,27556,443,Self-Employed,26,Yes,Rejected
User_273,88840,31962,723,Salaried,28,Yes,Approved
User_274,138451,33295,318,Salaried,2,Yes,Rejected
User_275,74384,18807,317,Salaried,18,Yes,Rejected
User_276,71005,47348,670,Salaried,6,Yes,Approved
User_277,66576,31432,474,Self-Employed,9,Yes,Rejected
User_278,59353,22749,493,Salaried,1,Yes,Rejected
User_279,82003,46459,801,Salaried,9,No,Approved
User_280,103211,31256,412,Self-Employed,25,No,Rejected
User_281,72733,45262,413,Salaried,16,No,Rejected
User_282,85318,42080,521,Salaried,13,Yes,Approved
User_283,129953,6324,563,Self-Employed,9,Yes,Approved
User_284,109474,30731,354,Salaried,21,No,Rejected
User_285,43664,40909,757,Self-Employed,13,No,Approved
User_286,87172,28803,461,Self-Employed,9,No,Rejected
User_287,105616,24870,679,Self-Employed,11,Yes,Approved
User_288,145879,39578,386,Self-Employed,4,No,Rejected
User_289,113264,11588,354,Salaried,2,No,Rejected
User_290,135386,43069,775,Self-Employed,29,Yes,Approved
User_291,46736,31790,477,Salaried,6,No,Rejected
User_292,114209,30289,690,Salaried,14,Yes,Approved
User_293,123041,33178,648,Salaried,4,Yes,Approved
User_294,132859,33710,307,Salaried,6,Yes,Rejected
User_295,132181,20485,612,Salaried,19,No,Approved
User_296,20854,49482,742,Salaried,6,No,Rejected
User_297,110084,25652,627,Salaried,2,Yes,Approved
User_298,58623,9748,353,Salaried,18,No,Rejected
User_299,27392,26233,538,Salaried,13,No,Approved
User_300,75680,14435,528,Salaried,9,No,Approved
User_301,146354,8709,350,Self-Employed,23,No,Rejected
User_302,66717,35355,563,Self-Employed,19,Yes,Approved
User_303,139937,18116,717,Self-Employed,13,No,Approved
User_304,107092,30470,395,Salaried,11,Yes,Rejected
User_305,70859,47344,387,Self-Employed,1,Yes,Rejected
User_306,145657,47918,377,Self-Employed,24,No,Rejected
User_307,124095,44298,587,Self-Employed,22,Yes,Approved
User_308,46309,47956,419,Salaried,7,No,Rejected
User_309,107455,19683,790,Salaried,25,No,Approved
User_310,83734,5504,751,Salaried,21,Yes,Approved
User_311,90467,38982,799,Salaried,15,Yes,Approved
User_312,72662,39299,464,Self-Employed,1,Yes,Rejected
User_313,118506,33016,481,Self-Employed,12,Yes,Rejected
User_314,129751,28960,768,Self-Employed,26,No,Approved
User_315,138906,38591,306,Self-Employed,7,No,Rejected
User_316,32688,22312,629,Salaried,15,No,Approved
User_317,45342,42797,450,Salaried,21,Yes,Rejected
User_318,57157,7105,384,Salaried,19,Yes,Rejected
User_319,87863,41395,446,Self-Employed,28,Yes,Rejected
User_320,126308,27700,680,Salaried,29,No,Approved
User_321,72083,39620,847,Salaried,25,Yes,Approved
User_322,126081,42678,584,Self-Employed,1,No,Approved
User_323,85733,25559,381,Self-Employed,17,Yes,Rejected
User_324,109045,32509,813,Salaried,17,No,Approved
User_325,54698,32860,822,Salaried,3,No,Approved
User_326,130078,16003,685,Salaried,12,Yes,Approved
User_327,100623,26732,770,Salaried,6,Yes,Approved
User_328,42671,30826,418,Salaried,26,No,Rejected
User_329,45184,35354,695,Salaried,11,No,Approved
User_330,113384,18843,831,Self-Employed,3,Yes,Approved
User_331,62107,49472,560,Self-Employed,8,Yes,Approved
User_332,106202,11190,555,Self-Employed,14,No,Approved
User_333,129893,22640,525,Salaried,14,Yes,Approved
User_334,71663,43413,352,Self-Employed,10,No,Rejected
User_335,35708,47356,799,Salaried,2,No,Approved
User_336,111906,49597,805,Salaried,14,Yes,Approved
User_337,69811,45821,663,Self-Employed,9,Yes,Approved
User_338,22811,8330,579,Salaried,3,Yes,Approved
User_339,76250,24087,457,Salaried,21,Yes,Rejected
User_340,132547,46430,358,Self-Employed,26,Yes,Rejected
User_341,92082,29504,427,Self-Employed,8,No,Rejected
User_342,144249,12114,414,Self-Employed,16,No,Rejected
User_343,54754,18323,508,Salaried,2,Yes,Approved
User_344,115742,39121,825,Self-Employed,6,Yes,Approved
User_345,126642,15975,820,Self-Employed,28,Yes,Approved
User_346,31411,16023,536,Salaried,21,No,Approved
User_347,22911,26447,580,Self-Employed,29,Yes,Approved
User_348,87270,29933,658,Self-Employed,26,Yes,Approved
User_349,103763,28959,500,Self-Employed,25,No,Approved
User_350,28680,5667,577,Salaried,12,No,Approved
User_351,104896,34703,534,Salaried,5,Yes,Approved
User_352,103879,14337,793,Salaried,2,Yes,Approved
User_353,91295,41487,303,Salaried,16,Yes,Rejected
User_354,108614,24129,741,Self-Employed,5,No,Approved
User_355,120689,45251,328,Salaried,15,Yes,Rejected
User_356,31111,36921,408,Salaried,12,Yes,Rejected
User_357,57504,38307,374,Self-Employed,4,Yes,Rejected
User_358,21802,32355,445,Self-Employed,15,No,Rejected
User_359,28155,42732,427,Self-Employed,11,No,Rejected
User_360,93656,9835,341,Salaried,16,Yes,Rejected
User_361,59384,25159,655,Salaried,23,Yes,Approved
User_362,132561,43810,340,Salaried,6,No,Rejected
User_363,67254,45080,333,Self-Employed,14,No,Rejected
User_364,41918,43088,316,Self-Employed,18,No,Rejected
User_365,105981,18216,452,Salaried,12,No,Rejected
User_366,80713,40547,677,Self-Employed,27,No,Approved
User_367,50306,36471,641,Self-Employed,11,No,Approved
User_368,36646,22308,326,Self-Employed,13,No,Rejected
User_369,66843,32532,586,Salaried,21,No,Approved
User_370,140975,39349,467,Self-Employed,23,No,Rejected
User_371,116601,10713,567,Self-Employed,11,Yes,Approved
User_372,110735,9804,754,Salaried,23,Yes,Approved
User_373,127512,15136,700,Salaried,16,Yes,Approved
User_374,36371,5009,775,Self-Employed,15,No,Approved
User_375,97371,24255,429,Self-Employed,21,Yes,Rejected
User_376,131472,28793,662,Salaried,28,No,Approved
User_377,22049,34548,591,Salaried,15,No,Approved
User_378,51616,42892,670,Self-Employed,25,Yes,Approved
User_379,123727,6015,328,Self-Employed,4,No,Rejected
User_380,132893,32712,448,Self-Employed,11,Yes,Rejected
User_381,146603,39961,595,Self-Employed,19,Yes,Approved
User_382,40932,13415,310,Salaried,15,Yes,Rejected
User_383,137796,28833,811,Self-Employed,4,No,Approved
User_384,49855,9158,412,Self-Employed,21,Yes,Rejected
User_385,81434,25309,486,Salaried,13,No,Rejected
User_386,92694,11970,526,Self-Employed,22,Yes,Approved
User_387,63016,11938,609,Salaried,19,Yes,Approved
User_388,27400,26168,397,Self-Employed,2,Yes,Rejected
User_389,137858,25384,354,Self-Employed,14,No,Rejected
User_390,62642,23017,705,Salaried,29,No,Approved
User_391,35151,15344,368,Salaried,4,No,Rejected
User_392,71407,45034,611,Self-Employed,16,Yes,Approved
User_393,86690,13702,588,Self-Employed,21,Yes,Approved
User_394,24499,5384,847,Self-Employed,20,No,Approved
User_395,26295,5404,447,Salaried,14,No,Rejected
User_396,140885,45943,766,Self-Employed,27,No,Approved
User_397,146071,34189,543,Salaried,29,No,Approved
User_398,79040,17763,790,Salaried,15,No,Approved
User_399,32183,23384,806,Self-Employed,28,No,Approved
User_400,49299,37606,664,Salaried,3,Yes,Approved
User_401,32874,14860,781,Self-Employed,8,No,Approved
User_402,136336,43757,500,Self-Employed,16,Yes,Approved
User_403,52711,20106,453,Self-Employed,10,Yes,Rejected
User_404,25539,28574,749,Self-Employed,4,No,Approved
User_405,127941,28524,800,Self-Employed,18,No,Approved
User_406,73351,8636,372,Salaried,2,Yes,Rejected
User_407,81267,15916,595,Salaried,17,No,Approved
User_408,143133,9809,316,Self-Employed,13,No,Rejected
User_409,68354,37201,516,Self-Employed,4,Yes,Approved
User_410,146063,18456,360,Salaried,26,Yes,Rejected
User_411,22557,43765,341,Salaried,25,Yes,Rejected
User_412,58360,39816,324,Salaried,11,No,Rejected
User_413,102018,22100,338,Salaried,7,Yes,Rejected
User_414,22200,26949,430,Self-Employed,12,No,Rejected
User_415,132476,9544,797,Self-Employed,10,Yes,Approved
User_416,88497,42744,528,Salaried,7,Yes,Approved
User_417,66975,47783,407,Self-Employed,13,Yes,Rejected
User_418,41357,31657,471,Salaried,7,No,Rejected
User_419,139121,41187,734,Self-Employed,24,No,Approved
User_420,97505,12239,777,Salaried,17,Yes,Approved
User_421,22869,19489,401,Self-Employed,10,Yes,Rejected
User_422,146114,48125,823,Salaried,29,Yes,Approved
User_423,81135,33538,574,Salaried,10,No,Approved
User_424,70108,37049,343,Self-Employed,24,Yes,Rejected
User_425,132296,42131,316,Salaried,4,No,Rejected
User_426,114179,47944,629,Self-Employed,20,Yes,Approved
User_427,110272,13427,796,Self-Employed,4,Yes,Approved
User_428,58467,46348,311,Salaried,22,Yes,Rejected
User_429,43328,29285,617,Self-Employed,7,Yes,Approved
User_430,139181,42626,515,Self-Employed,22,Yes,Approved
User_431,111412,47808,638,Self-Employed,1,Yes,Approved
User_432,106831,27928,380,Self-Employed,12,No,Rejected
User_433,23987,24198,784,Self-Employed,24,Yes,Approved
User_434,78871,24758,673,Salaried,13,No,Approved
User_435,42399,20254,499,Self-Employed,10,Yes,Rejected
User_436,148391,49238,836,Self-Employed,15,Yes,Approved
User_437,66214,6252,765,Self-Employed,27,No,Approved
User_438,119522,44764,388,Self-Employed,13,Yes,Rejected
User_439,106416,17173,567,Self-Employed,23,No,Approved
User_440,90271,42441,788,Salaried,22,No,Approved
User_441,64064,31698,837,Self-Employed,22,Yes,Approved
User_442,145615,20781,346,Salaried,21,No,Rejected
User_443,90091,18051,587,Salaried,22,No,Approved
User_444,127450,44649,315,Salaried,28,Yes,Rejected
User_445,60818,11949,700,Salaried,9,No,Approved
User_446,65525,47289,385,Self-Employed,26,Yes,Rejected
User_447,39830,13017,549,Salaried,9,Yes,Approved
User_448,37429,11941,690,Salaried,15,Yes,Approved
User_449,26893,30934,634,Self-Employed,10,Yes,Approved
User_450,136381,28386,818,Self-Employed,24,No,Approved
User_451,99909,15209,436,Self-Employed,26,Yes,Rejected
User_452,67333,22715,797,Salaried,25,Yes,Approved
User_453,23436,33920,776,Self-Employed,29,No,Approved
User_454,94290,36703,522,Self-Employed,10,Yes,Approved
User_455,96213,47318,671,Salaried,8,Yes,Approved
User_456,25895,9637,701,Self-Employed,24,No,Approved
User_457,39738,9854,742,Self-Employed,16,No,Approved
User_458,50746,48088,789,Self-Employed,17,No,Approved
User_459,69377,42660,572,Self-Employed,26,No,Approved
User_460,68404,44811,825,Salaried,27,No,Approved
User_461,74045,24856,458,Self-Employed,5,No,Rejected
User_462,117888,26833,451,Self-Employed,4,No,Rejected
User_463,149307,24963,487,Salaried,18,Yes,Rejected
User_464,59790,41932,397,Self-Employed,24,No,Rejected
User_465,127455,32169,430,Salaried,19,No,Rejected
User_466,25600,12941,470,Self-Employed,4,No,Rejected
User_467,114660,19388,482,Salaried,28,Yes,Rejected
User_468,113179,10569,663,Salaried,7,Yes,Approved
User_469,60764,9300,338,Salaried,10,No,Rejected
User_470,94543,44037,826,Salaried,25,No,Approved
User_471,65714,41586,796,Self-Employed,18,No,Approved
User_472,76835,17015,815,Salaried,19,Yes,Approved
User_473,122946,11254,648,Self-Employed,4,Yes,Approved
User_474,148191,22144,696,Salaried,10,No,Approved
User_475,129616,29214,460,Salaried,1,Yes,Rejected
User_476,125983,45118,315,Salaried,23,No,Rejected
User_477,93744,20183,792,Self-Employed,18,Yes,Approved
User_478,76491,11238,725,Salaried,5,Yes,Approved
User_479,144123,11090,407,Self-Employed,15,No,Rejected
User_480,38589,16637,749,Self-Employed,17,No,Approved
User_481,63484,27415,610,Self-Employed,3,No,Approved
User_482,102989,29071,469,Self-Employed,12,No,Rejected
User_483,56212,47679,845,Self-Employed,2,Yes,Approved
User_484,63525,46240,713,Self-Employed,1,Yes,Approved
User_485,67202,23271,550,Self-Employed,23,Yes,Approved
User_486,52635,41034,440,Self-Employed,21,No,Rejected
User_487,83208,38434,573,Self-Employed,17,Yes,Approved
User_488,53828,9188,715,Salaried,22,No,Approved
User_489,38711,15161,338,Salaried,16,Yes,Rejected
User_490,23420,33732,328,Salaried,5,No,Rejected
User_491,116752,16314,776,Salaried,15,No,Approved
User_492,20301,28954,617,Salaried,3,Yes,Approved
User_493,65236,26508,544,Self-Employed,28,No,Approved
User_494,135294,26969,571,Self-Employed,7,No,Approved
User_495,137858,42545,739,Self-Employed,11,Yes,Approved
User_496,86235,41668,538,Self-Employed,10,No,Approved
User_497,74240,28061,676,Self-Employed,9,No,Approved
User_498,144019,18716,565,Self-Employed,14,No,Approved
User_499,85726,44749,658,Self-Employed,13,Yes,Approved
User_500,30492,44144,639,Salaried,29,Yes,Approved
